scene,split,views,rank,filename,quality_score,quality_score_norm,diversity_score,combined_score
db/playroom,2views_quality_image_diverse,2,1,DSC05781.jpg,0.9599772447803682,1.0,0.0,1.0
db/playroom,2views_quality_image_diverse,2,2,DSC05660.jpg,0.9363768453059479,0.9037539211184795,0.3572399474388963,0.6031712355947088
db/playroom,3views_quality_image_diverse,3,1,DSC05781.jpg,0.9599772447803682,1.0,0.0,1.0
db/playroom,3views_quality_image_diverse,3,2,DSC05660.jpg,0.9363768453059479,0.9037539211184795,0.3572399474388963,0.6031712355947088
db/playroom,3views_quality_image_diverse,3,3,DSC05758.jpg,0.9116447448430749,0.8028925905873855,0.2625352971612464,0.505696079203009
db/playroom,5views_quality_image_diverse,5,1,DSC05781.jpg,0.9599772447803682,1.0,0.0,1.0
db/playroom,5views_quality_image_diverse,5,2,DSC05660.jpg,0.9363768453059479,0.9037539211184795,0.3572399474388963,0.6031712355947088
db/playroom,5views_quality_image_diverse,5,3,DSC05758.jpg,0.9116447448430749,0.8028925905873855,0.2625352971612464,0.505696079203009
db/playroom,5views_quality_image_diverse,5,4,DSC05779.jpg,0.8671716098357674,0.6215242682138095,0.31433222000315686,0.4525686416979506
db/playroom,5views_quality_image_diverse,5,5,DSC05579.jpg,0.8896587707915808,0.713230388253027,0.22536607212893964,0.444905014384779
db/playroom,8views_quality_image_diverse,8,1,DSC05781.jpg,0.9599772447803682,1.0,0.0,1.0
db/playroom,8views_quality_image_diverse,8,2,DSC05660.jpg,0.9363768453059479,0.9037539211184795,0.3572399474388963,0.6031712355947088
db/playroom,8views_quality_image_diverse,8,3,DSC05758.jpg,0.9116447448430749,0.8028925905873855,0.2625352971612464,0.505696079203009
db/playroom,8views_quality_image_diverse,8,4,DSC05779.jpg,0.8671716098357674,0.6215242682138095,0.31433222000315686,0.4525686416979506
db/playroom,8views_quality_image_diverse,8,5,DSC05579.jpg,0.8896587707915808,0.713230388253027,0.22536607212893964,0.444905014384779
db/playroom,8views_quality_image_diverse,8,6,DSC05672.jpg,0.8085778385984775,0.382569807524178,0.44069299499072817,0.4145375606307806
db/playroom,8views_quality_image_diverse,8,7,DSC05709.jpg,0.7845623103247596,0.28463076919904756,0.49616933709713706,0.4009769815429968
db/playroom,8views_quality_image_diverse,8,8,DSC05588.jpg,0.8018022687090773,0.35493798566670137,0.425563757875124,0.39378216038133385
db/playroom,12views_quality_image_diverse,12,1,DSC05781.jpg,0.9599772447803682,1.0,0.0,1.0
db/playroom,12views_quality_image_diverse,12,2,DSC05660.jpg,0.9363768453059479,0.9037539211184795,0.3572399474388963,0.6031712355947088
db/playroom,12views_quality_image_diverse,12,3,DSC05758.jpg,0.9116447448430749,0.8028925905873855,0.2625352971612464,0.505696079203009
db/playroom,12views_quality_image_diverse,12,4,DSC05779.jpg,0.8671716098357674,0.6215242682138095,0.31433222000315686,0.4525686416979506
db/playroom,12views_quality_image_diverse,12,5,DSC05579.jpg,0.8896587707915808,0.713230388253027,0.22536607212893964,0.444905014384779
db/playroom,12views_quality_image_diverse,12,6,DSC05672.jpg,0.8085778385984775,0.382569807524178,0.44069299499072817,0.4145375606307806
db/playroom,12views_quality_image_diverse,12,7,DSC05709.jpg,0.7845623103247596,0.28463076919904756,0.49616933709713706,0.4009769815429968
db/playroom,12views_quality_image_diverse,12,8,DSC05588.jpg,0.8018022687090773,0.35493798566670137,0.425563757875124,0.39378216038133385
db/playroom,12views_quality_image_diverse,12,9,DSC05675.jpg,0.7991305208977804,0.3440421849038232,0.43406064545927314,0.3935523382093207
db/playroom,12views_quality_image_diverse,12,10,DSC05759.jpg,0.8300289429532024,0.4700507285169906,0.3038848466282412,0.37865949347817845
db/playroom,12views_quality_image_diverse,12,11,DSC05587.jpg,0.8460001066554418,0.535183604050792,0.2488368424243415,0.3776928851562442
db/playroom,12views_quality_image_diverse,12,12,DSC05576.jpg,0.8271856339788973,0.45845527479926396,0.2997291306111234,0.37115589549578665
db/playroom,20views_quality_image_diverse,20,1,DSC05781.jpg,0.9599772447803682,1.0,0.0,1.0
db/playroom,20views_quality_image_diverse,20,2,DSC05660.jpg,0.9363768453059479,0.9037539211184795,0.3572399474388963,0.6031712355947088
db/playroom,20views_quality_image_diverse,20,3,DSC05758.jpg,0.9116447448430749,0.8028925905873855,0.2625352971612464,0.505696079203009
db/playroom,20views_quality_image_diverse,20,4,DSC05779.jpg,0.8671716098357674,0.6215242682138095,0.31433222000315686,0.4525686416979506
db/playroom,20views_quality_image_diverse,20,5,DSC05579.jpg,0.8896587707915808,0.713230388253027,0.22536607212893964,0.444905014384779
db/playroom,20views_quality_image_diverse,20,6,DSC05672.jpg,0.8085778385984775,0.382569807524178,0.44069299499072817,0.4145375606307806
db/playroom,20views_quality_image_diverse,20,7,DSC05709.jpg,0.7845623103247596,0.28463076919904756,0.49616933709713706,0.4009769815429968
db/playroom,20views_quality_image_diverse,20,8,DSC05588.jpg,0.8018022687090773,0.35493798566670137,0.425563757875124,0.39378216038133385
db/playroom,20views_quality_image_diverse,20,9,DSC05675.jpg,0.7991305208977804,0.3440421849038232,0.43406064545927314,0.3935523382093207
db/playroom,20views_quality_image_diverse,20,10,DSC05759.jpg,0.8300289429532024,0.4700507285169906,0.3038848466282412,0.37865949347817845
db/playroom,20views_quality_image_diverse,20,11,DSC05587.jpg,0.8460001066554418,0.535183604050792,0.2488368424243415,0.3776928851562442
db/playroom,20views_quality_image_diverse,20,12,DSC05576.jpg,0.8271856339788973,0.45845527479926396,0.2997291306111234,0.37115589549578665
