scene,split,views,rank,filename,quality_score,quality_score_norm,diversity_score,combined_score
tandt/truck,2views_quality_image_diverse,2,1,000013.jpg,0.7532437661630225,1.0,0.0,1.0
tandt/truck,2views_quality_image_diverse,2,2,000004.jpg,0.7367489888873042,0.9230890206840682,0.31642398894231333,0.589423253226103
tandt/truck,3views_quality_image_diverse,3,1,000013.jpg,0.7532437661630225,1.0,0.0,1.0
tandt/truck,3views_quality_image_diverse,3,2,000004.jpg,0.7367489888873042,0.9230890206840682,0.31642398894231333,0.589423253226103
tandt/truck,3views_quality_image_diverse,3,3,000222.jpg,0.682049526762334,0.6680392476702041,0.4255346649444872,0.5346617271710599
tandt/truck,5views_quality_image_diverse,5,1,000013.jpg,0.7532437661630225,1.0,0.0,1.0
tandt/truck,5views_quality_image_diverse,5,2,000004.jpg,0.7367489888873042,0.9230890206840682,0.31642398894231333,0.589423253226103
tandt/truck,5views_quality_image_diverse,5,3,000222.jpg,0.682049526762334,0.6680392476702041,0.4255346649444872,0.5346617271710599
tandt/truck,5views_quality_image_diverse,5,4,000015.jpg,0.7383808975442373,0.9306981984777953,0.21043733063157344,0.5345547211623733
tandt/truck,5views_quality_image_diverse,5,5,000113.jpg,0.6744399376290484,0.6325576559730296,0.4249492808721031,0.5183730496675201
tandt/truck,8views_quality_image_diverse,8,1,000013.jpg,0.7532437661630225,1.0,0.0,1.0
tandt/truck,8views_quality_image_diverse,8,2,000004.jpg,0.7367489888873042,0.9230890206840682,0.31642398894231333,0.589423253226103
tandt/truck,8views_quality_image_diverse,8,3,000222.jpg,0.682049526762334,0.6680392476702041,0.4255346649444872,0.5346617271710599
tandt/truck,8views_quality_image_diverse,8,4,000015.jpg,0.7383808975442373,0.9306981984777953,0.21043733063157344,0.5345547211623733
tandt/truck,8views_quality_image_diverse,8,5,000113.jpg,0.6744399376290484,0.6325576559730296,0.4249492808721031,0.5183730496675201
tandt/truck,8views_quality_image_diverse,8,6,000099.jpg,0.6579776453377348,0.5557981459326062,0.4272230765278835,0.4850818577600088
tandt/truck,8views_quality_image_diverse,8,7,000014.jpg,0.7396423216177221,0.9365799002554379,0.10977304627252338,0.48183613056483493
tandt/truck,8views_quality_image_diverse,8,8,000198.jpg,0.7016579997657122,0.7594686035427379,0.2114656783874569,0.45806699470733336
tandt/truck,12views_quality_image_diverse,12,1,000013.jpg,0.7532437661630225,1.0,0.0,1.0
tandt/truck,12views_quality_image_diverse,12,2,000004.jpg,0.7367489888873042,0.9230890206840682,0.31642398894231333,0.589423253226103
tandt/truck,12views_quality_image_diverse,12,3,000222.jpg,0.682049526762334,0.6680392476702041,0.4255346649444872,0.5346617271710599
tandt/truck,12views_quality_image_diverse,12,4,000015.jpg,0.7383808975442373,0.9306981984777953,0.21043733063157344,0.5345547211623733
tandt/truck,12views_quality_image_diverse,12,5,000113.jpg,0.6744399376290484,0.6325576559730296,0.4249492808721031,0.5183730496675201
tandt/truck,12views_quality_image_diverse,12,6,000099.jpg,0.6579776453377348,0.5557981459326062,0.4272230765278835,0.4850818577600088
tandt/truck,12views_quality_image_diverse,12,7,000014.jpg,0.7396423216177221,0.9365799002554379,0.10977304627252338,0.48183613056483493
tandt/truck,12views_quality_image_diverse,12,8,000198.jpg,0.7016579997657122,0.7594686035427379,0.2114656783874569,0.45806699470733336
tandt/truck,12views_quality_image_diverse,12,9,000091.jpg,0.6297006465032386,0.4239496440629824,0.44198227240894955,0.43386758965326433
tandt/truck,12views_quality_image_diverse,12,10,000007.jpg,0.6950251130087596,0.7285411282794088,0.17962167300355497,0.4266354278776892
tandt/truck,12views_quality_image_diverse,12,11,000012.jpg,0.7134896859867502,0.8146367673201557,0.10650787287281403,0.42516587537411776
tandt/truck,12views_quality_image_diverse,12,12,000111.jpg,0.6542120470401154,0.538240112384214,0.3287724347140667,0.423032889665633
tandt/truck,20views_quality_image_diverse,20,1,000013.jpg,0.7532437661630225,1.0,0.0,1.0
tandt/truck,20views_quality_image_diverse,20,2,000004.jpg,0.7367489888873042,0.9230890206840682,0.31642398894231333,0.589423253226103
tandt/truck,20views_quality_image_diverse,20,3,000222.jpg,0.682049526762334,0.6680392476702041,0.4255346649444872,0.5346617271710599
tandt/truck,20views_quality_image_diverse,20,4,000015.jpg,0.7383808975442373,0.9306981984777953,0.21043733063157344,0.5345547211623733
tandt/truck,20views_quality_image_diverse,20,5,000113.jpg,0.6744399376290484,0.6325576559730296,0.4249492808721031,0.5183730496675201
tandt/truck,20views_quality_image_diverse,20,6,000099.jpg,0.6579776453377348,0.5557981459326062,0.4272230765278835,0.4850818577600088
tandt/truck,20views_quality_image_diverse,20,7,000014.jpg,0.7396423216177221,0.9365799002554379,0.10977304627252338,0.48183613056483493
tandt/truck,20views_quality_image_diverse,20,8,000198.jpg,0.7016579997657122,0.7594686035427379,0.2114656783874569,0.45806699470733336
tandt/truck,20views_quality_image_diverse,20,9,000091.jpg,0.6297006465032386,0.4239496440629824,0.44198227240894955,0.43386758965326433
tandt/truck,20views_quality_image_diverse,20,10,000007.jpg,0.6950251130087596,0.7285411282794088,0.17962167300355497,0.4266354278776892
tandt/truck,20views_quality_image_diverse,20,11,000012.jpg,0.7134896859867502,0.8146367673201557,0.10650787287281403,0.42516587537411776
tandt/truck,20views_quality_image_diverse,20,12,000111.jpg,0.6542120470401154,0.538240112384214,0.3287724347140667,0.423032889665633
tandt/truck,20views_quality_image_diverse,20,13,000114.jpg,0.6755556930532765,0.6377601416398574,0.2296985414924419,0.4133262615587789
tandt/truck,20views_quality_image_diverse,20,14,000005.jpg,0.7199963416610186,0.844975658935032,0.04320037062547046,0.40399925036477313
