method,scenes,runs,camera_rmse_mean,camera_rmse_std,runtime_sec_mean,peak_gpu_memory_mb_mean
VGGT,4,16,0.07335972608672325,0.11923428840597766,0.6398398562496368,7581.813262939453
DUSt3R,4,16,0.1024492784002803,0.1441884296200072,10.681243212499567,2764.041259765625
MASt3R,4,16,0.11449361946176305,0.12844044670985783,14.520141224999179,3125.752655029297
