scene,method,condition,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path,num_test_images,eval_psnr,eval_ssim,eval_lpips,metrics_summary,per_view_csv
tandt/truck,3dgs_degraded,under_0.6,5views_quality_diverse,success,0,datasets\degraded_scenes\under_0.6\tandt\truck\5views_quality_diverse,results\method_outputs\tandt\truck\3dgs_degraded\under_0.6\5views_quality_diverse,3000,4,82.90927399999964,5,18766,3000,0.0035030145663768053,45.63544845581055,results\method_outputs\tandt\truck\3dgs_degraded\under_0.6\5views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,36731819,results\method_outputs\tandt\truck\3dgs_degraded\under_0.6\5views_quality_diverse\train_console.log,20,10.02024880941137,0.3164938025176525,0.4985996976494789,,results\method_outputs\tandt\truck\3dgs_degraded\under_0.6\5views_quality_diverse\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,jpeg_q20,5views_uniform,success,0,datasets\degraded_scenes\jpeg_q20\db\drjohnson\5views_uniform,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_uniform,3000,4,117.24789559999954,5,7260,3000,0.0032470431178808212,45.49114227294922,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,77905771,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_uniform\train_console.log,20,12.500063764758895,0.2508170446380973,0.7046006292104721,,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_uniform\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,jpeg_q20,5views_random,success,0,datasets\degraded_scenes\jpeg_q20\db\drjohnson\5views_random,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_random,3000,4,106.61971890000132,5,5413,3000,0.003179901745170355,45.49811935424805,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_random\point_cloud\iteration_3000\point_cloud.ply,48890763,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_random\train_console.log,20,14.549011091913181,0.320700886414852,0.6570295363664627,,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_random\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,jpeg_q20,5views_quality,success,0,datasets\degraded_scenes\jpeg_q20\db\drjohnson\5views_quality,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_quality,3000,4,112.24385799999982,5,2834,3000,0.003921517636626959,44.263671875,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_quality\point_cloud\iteration_3000\point_cloud.ply,61446755,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_quality\train_console.log,20,10.422829988554794,0.11103523129131646,0.7273369461297989,,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_quality\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,jpeg_q20,5views_quality_diverse,success,0,datasets\degraded_scenes\jpeg_q20\db\drjohnson\5views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_quality_diverse,3000,4,131.63121470000078,5,6175,3000,0.004136529751121998,43.296424865722656,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,58798115,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_quality_diverse\train_console.log,20,14.53985087661221,0.34447294324636457,0.6766136825084687,,results\method_outputs\db\drjohnson\3dgs_degraded\jpeg_q20\5views_quality_diverse\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,blur_k15,5views_uniform,success,0,datasets\degraded_scenes\blur_k15\db\drjohnson\5views_uniform,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_uniform,3000,4,112.84480330000042,5,7260,3000,0.00259141786955297,49.001792907714844,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,45253347,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_uniform\train_console.log,20,12.764113929250351,0.27091838140040636,0.7131143748760224,,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_uniform\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,blur_k15,5views_random,success,0,datasets\degraded_scenes\blur_k15\db\drjohnson\5views_random,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_random,3000,4,86.61087950000001,5,5413,3000,0.0025865184143185616,48.302120208740234,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_random\point_cloud\iteration_3000\point_cloud.ply,31502987,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_random\train_console.log,20,15.00581873465642,0.34969238797202706,0.6903781503438949,,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_random\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,blur_k15,5views_quality,success,0,datasets\degraded_scenes\blur_k15\db\drjohnson\5views_quality,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_quality,3000,4,98.45566719999988,5,2834,3000,0.003053824184462428,46.530574798583984,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_quality\point_cloud\iteration_3000\point_cloud.ply,39847443,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_quality\train_console.log,20,10.736606982543245,0.13261202987632714,0.7353016257286071,,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_quality\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,blur_k15,5views_quality_diverse,success,0,datasets\degraded_scenes\blur_k15\db\drjohnson\5views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_quality_diverse,3000,4,118.72048240000004,5,6175,3000,0.002888347255066037,46.7392578125,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_quality_diverse\point_cloud\iteration_3000\point_cloud.ply,37971323,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_quality_diverse\train_console.log,20,15.56768232466752,0.4175813764333725,0.6985287427902221,,results\method_outputs\db\drjohnson\3dgs_degraded\blur_k15\5views_quality_diverse\test\ours_3000\metrics_per_view.csv
db/drjohnson,3dgs_degraded,lowres_50,5views_uniform,success,0,datasets\degraded_scenes\lowres_50\db\drjohnson\5views_uniform,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_uniform,3000,4,108.70863499999905,5,7260,3000,0.0032097219955176115,46.79410934448242,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,67061475,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_uniform\train_console.log,20,12.584183967980355,0.2714906487613916,0.7019927829504014,,results\method_outputs\db\drjohnson\3dgs_degraded\lowres_50\5views_uniform\test\ours_3000\metrics_per_view.csv
