scene,views,seed,split,status,selected_images,excluded_test_images,psnr,ssim,lpips,num_test_images,metrics_summary,todo
db/drjohnson,20,2,20views_random_seed2,evaluated,"[""IMG_6301.jpg"", ""IMG_6304.jpg"", ""IMG_6347.jpg"", ""IMG_6376.jpg"", ""IMG_6392.jpg"", ""IMG_6406.jpg"", ""IMG_6411.jpg"", ""IMG_6430.jpg"", ""IMG_6436.jpg"", ""IMG_6443.jpg"", ""IMG_6452.jpg"", ""IMG_6460.jpg"", ""IMG_6476.jpg"", ""IMG_6569.jpg"", ""IMG_6573.jpg"", ""IMG_6576.jpg"", ""IMG_6578.jpg"", ""IMG_6581.jpg"", ""IMG_6590.jpg"", ""IMG_6591.jpg""]",20,17.46497432579924,0.4973123252391815,0.5231093175709247,20,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed2,
db/drjohnson,2,3,2views_random_seed3,evaluated,"[""IMG_6367.jpg"", ""IMG_6486.jpg""]",20,11.288614355012225,0.21858297380385922,0.7440559923648834,20,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed3,
db/drjohnson,3,3,3views_random_seed3,evaluated,"[""IMG_6336.jpg"", ""IMG_6408.jpg"", ""IMG_6466.jpg""]",20,10.768542188762158,0.21887813344364987,0.7506409823894501,20,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed3,
db/drjohnson,5,3,5views_random_seed3,evaluated,"[""IMG_6445.jpg"", ""IMG_6483.jpg"", ""IMG_6490.jpg"", ""IMG_6496.jpg"", ""IMG_6584.jpg""]",20,12.770250451080777,0.2907363697886467,0.7069542050361634,20,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed3,
db/drjohnson,8,3,8views_random_seed3,evaluated,"[""IMG_6296.jpg"", ""IMG_6314.jpg"", ""IMG_6373.jpg"", ""IMG_6444.jpg"", ""IMG_6471.jpg"", ""IMG_6491.jpg"", ""IMG_6559.jpg"", ""IMG_6581.jpg""]",20,16.365705713143154,0.39460223317146303,0.6058072954416275,20,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed3,
db/drjohnson,12,3,12views_random_seed3,evaluated,"[""IMG_6341.jpg"", ""IMG_6355.jpg"", ""IMG_6366.jpg"", ""IMG_6415.jpg"", ""IMG_6444.jpg"", ""IMG_6445.jpg"", ""IMG_6465.jpg"", ""IMG_6468.jpg"", ""IMG_6501.jpg"", ""IMG_6523.jpg"", ""IMG_6559.jpg"", ""IMG_6566.jpg""]",20,15.526802118682383,0.35938009470701215,0.6197615027427673,20,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed3,
db/drjohnson,20,3,20views_random_seed3,evaluated,"[""IMG_6296.jpg"", ""IMG_6301.jpg"", ""IMG_6306.jpg"", ""IMG_6314.jpg"", ""IMG_6341.jpg"", ""IMG_6344.jpg"", ""IMG_6366.jpg"", ""IMG_6385.jpg"", ""IMG_6413.jpg"", ""IMG_6459.jpg"", ""IMG_6486.jpg"", ""IMG_6499.jpg"", ""IMG_6509.jpg"", ""IMG_6530.jpg"", ""IMG_6536.jpg"", ""IMG_6541.jpg"", ""IMG_6542.jpg"", ""IMG_6555.jpg"", ""IMG_6569.jpg"", ""IMG_6589.jpg""]",20,18.547694566351147,0.49153909385204314,0.5196181133389473,20,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed3,
db/drjohnson,2,4,2views_random_seed4,evaluated,"[""IMG_6367.jpg"", ""IMG_6385.jpg""]",20,12.244445834727124,0.2793670983170159,0.6932134389877319,20,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed4,
db/drjohnson,3,4,3views_random_seed4,evaluated,"[""IMG_6326.jpg"", ""IMG_6415.jpg"", ""IMG_6524.jpg""]",20,12.350821786502138,0.2558579294010997,0.7040149092674255,20,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed4,
db/drjohnson,5,4,5views_random_seed4,evaluated,"[""IMG_6299.jpg"", ""IMG_6317.jpg"", ""IMG_6323.jpg"", ""IMG_6342.jpg"", ""IMG_6446.jpg""]",20,11.668154125127117,0.23699723426252603,0.7159251660108567,20,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed4,
