scene,method,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path,views,selection
tandt/train,3dgs_sparse,5views_random,success,0,datasets\sparse_scenes\tandt\train\5views_random,results\method_outputs\tandt\train\3dgs_sparse\5views_random,3000,4,63.98307909999858,5,22172,3000,0.0058206743560731,39.66898727416992,results\method_outputs\tandt\train\3dgs_sparse\5views_random\point_cloud\iteration_3000\point_cloud.ply,46633715,results\method_outputs\tandt\train\3dgs_sparse\5views_random\train_console.log,5,random
tandt/train,3dgs_sparse,8views_random,success,0,datasets\sparse_scenes\tandt\train\8views_random,results\method_outputs\tandt\train\3dgs_sparse\8views_random,3000,4,100.9824529999969,8,31535,3000,0.0117457509040832,36.03564910888672,results\method_outputs\tandt\train\3dgs_sparse\8views_random\point_cloud\iteration_3000\point_cloud.ply,49254579,results\method_outputs\tandt\train\3dgs_sparse\8views_random\train_console.log,8,random
tandt/train,3dgs_sparse,12views_random,success,0,datasets\sparse_scenes\tandt\train\12views_random,results\method_outputs\tandt\train\3dgs_sparse\12views_random,3000,4,120.24031000000105,12,44856,3000,0.0082803632132709,36.66175079345703,results\method_outputs\tandt\train\3dgs_sparse\12views_random\point_cloud\iteration_3000\point_cloud.ply,53787523,results\method_outputs\tandt\train\3dgs_sparse\12views_random\train_console.log,12,random
tandt/train,3dgs_sparse,20views_random,success,0,datasets\sparse_scenes\tandt\train\20views_random,results\method_outputs\tandt\train\3dgs_sparse\20views_random,3000,4,145.51497449999442,20,63066,3000,0.0156223464757204,30.64120597839356,results\method_outputs\tandt\train\3dgs_sparse\20views_random\point_cloud\iteration_3000\point_cloud.ply,61051195,results\method_outputs\tandt\train\3dgs_sparse\20views_random\train_console.log,20,random
tandt/train,3dgs_sparse,2views_uniform,success,0,datasets\sparse_scenes\tandt\train\2views_uniform,results\method_outputs\tandt\train\3dgs_sparse\2views_uniform,3000,4,31.22850679999829,2,9305,3000,0.0024465187452733,45.102909088134766,results\method_outputs\tandt\train\3dgs_sparse\2views_uniform\point_cloud\iteration_3000\point_cloud.ply,29372915,results\method_outputs\tandt\train\3dgs_sparse\2views_uniform\train_console.log,2,uniform
tandt/train,3dgs_sparse,3views_uniform,success,0,datasets\sparse_scenes\tandt\train\3views_uniform,results\method_outputs\tandt\train\3dgs_sparse\3views_uniform,3000,4,68.97549009999784,3,12194,3000,0.0027732211630791,46.37756805419922,results\method_outputs\tandt\train\3dgs_sparse\3views_uniform\point_cloud\iteration_3000\point_cloud.ply,33686875,results\method_outputs\tandt\train\3dgs_sparse\3views_uniform\train_console.log,3,uniform
tandt/train,3dgs_sparse,5views_uniform,success,0,datasets\sparse_scenes\tandt\train\5views_uniform,results\method_outputs\tandt\train\3dgs_sparse\5views_uniform,3000,4,78.75219590000052,5,19876,3000,0.0053713880479335,40.09588623046875,results\method_outputs\tandt\train\3dgs_sparse\5views_uniform\point_cloud\iteration_3000\point_cloud.ply,39467259,results\method_outputs\tandt\train\3dgs_sparse\5views_uniform\train_console.log,5,uniform
tandt/train,3dgs_sparse,8views_uniform,success,0,datasets\sparse_scenes\tandt\train\8views_uniform,results\method_outputs\tandt\train\3dgs_sparse\8views_uniform,3000,4,99.53722310000012,8,30520,3000,0.0081616841256618,38.49233551025391,results\method_outputs\tandt\train\3dgs_sparse\8views_uniform\point_cloud\iteration_3000\point_cloud.ply,51482363,results\method_outputs\tandt\train\3dgs_sparse\8views_uniform\train_console.log,8,uniform
tandt/train,3dgs_sparse,12views_uniform,success,0,datasets\sparse_scenes\tandt\train\12views_uniform,results\method_outputs\tandt\train\3dgs_sparse\12views_uniform,3000,4,119.72314159999952,12,42125,3000,0.0097929374314844,35.551987457275395,results\method_outputs\tandt\train\3dgs_sparse\12views_uniform\point_cloud\iteration_3000\point_cloud.ply,52806435,results\method_outputs\tandt\train\3dgs_sparse\12views_uniform\train_console.log,12,uniform
tandt/train,3dgs_sparse,20views_uniform,success,0,datasets\sparse_scenes\tandt\train\20views_uniform,results\method_outputs\tandt\train\3dgs_sparse\20views_uniform,3000,4,157.16739499999676,20,70183,3000,0.0180135551840066,30.9536376953125,results\method_outputs\tandt\train\3dgs_sparse\20views_uniform\point_cloud\iteration_3000\point_cloud.ply,61014491,results\method_outputs\tandt\train\3dgs_sparse\20views_uniform\train_console.log,20,uniform
