scene,split,views,selection,iterations,resolution,status,runtime_sec,train_psnr,train_l1,initial_points,model_path,run_report
db/drjohnson,3views_quality_diverse,3,quality_diverse,3000,4,success,62.52578100000028,45.20008010864258,0.004043061775155366,4021,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_diverse\run_report.json
db/drjohnson,3views_quality_image_diverse,3,quality_image_diverse,3000,4,success,91.78700300000492,47.231169891357425,0.002919816877692938,2379,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\3views_quality_image_diverse\run_report.json
db/drjohnson,3views_random,3,random,3000,4,success,49.47266320000017,48.26772613525391,0.0025198893621563912,4035,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random\run_report.json
db/drjohnson,3views_random_seed0,3,random_seed0,3000,4,success,48.366600199995446,49.897256469726564,0.002155229891650379,4703,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed0\run_report.json
db/drjohnson,3views_random_seed1,3,random_seed1,3000,4,success,39.12414490000083,51.380924224853516,0.0018522195285186173,3606,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed1\run_report.json
db/drjohnson,3views_random_seed2,3,random_seed2,3000,4,success,49.736557500000345,51.19701080322266,0.0019029092742130162,5027,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed2\run_report.json
db/drjohnson,3views_random_seed3,3,random_seed3,3000,4,success,40.8250893000004,50.03294296264649,0.0021934852469712497,2116,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed3\run_report.json
db/drjohnson,3views_random_seed4,3,random_seed4,3000,4,success,41.660552300003474,51.098897552490236,0.001966193481348455,1502,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed4\run_report.json
db/drjohnson,3views_uniform,3,uniform,3000,4,success,45.188223200000266,50.415086364746095,0.0020612726220861077,5127,results\method_outputs\db\drjohnson\3dgs_sparse\3views_uniform,results\method_outputs\db\drjohnson\3dgs_sparse\3views_uniform\run_report.json
db/drjohnson,5views_quality,5,quality,3000,4,success,57.64330179999979,44.92893600463867,0.003459867788478732,2834,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality\run_report.json
db/drjohnson,5views_quality_diverse,5,quality_diverse,3000,4,success,66.75118380000004,45.37466049194336,0.003168997587636113,6175,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\5views_quality_diverse\run_report.json
