scene,method,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path
db/drjohnson,3dgs_sparse,2views_random_seed0,success,0,datasets\sparse_scenes\db\drjohnson\2views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed0,3000,4,23.821195100004843,2,1026,3000,0.0017271091928705573,52.278881835937504,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,19688018,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed0\train_console.log
db/drjohnson,3dgs_sparse,3views_random_seed0,success,0,datasets\sparse_scenes\db\drjohnson\3views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed0,3000,4,48.366600199995446,3,4703,3000,0.002155229891650379,49.897256469726564,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,50330651,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed0\train_console.log
db/drjohnson,3dgs_sparse,5views_random_seed0,success,0,datasets\sparse_scenes\db\drjohnson\5views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed0,3000,4,62.85878269999375,5,7819,3000,0.0035309840459376574,44.083892822265625,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,100913723,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed0\train_console.log
db/drjohnson,3dgs_sparse,8views_random_seed0,success,0,datasets\sparse_scenes\db\drjohnson\8views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed0,3000,4,68.52482910000253,8,11578,3000,0.005403856607154012,41.10644226074219,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,138727275,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed0\train_console.log
db/drjohnson,3dgs_sparse,12views_random_seed0,success,0,datasets\sparse_scenes\db\drjohnson\12views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed0,3000,4,73.68339560000459,12,12875,3000,0.005010836804285646,41.7382698059082,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,198577859,results\method_outputs\db\drjohnson\3dgs_sparse\12views_random_seed0\train_console.log
db/drjohnson,3dgs_sparse,20views_random_seed0,success,0,datasets\sparse_scenes\db\drjohnson\20views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed0,3000,4,95.12079369999992,20,23404,3000,0.008487262949347497,35.18400115966797,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed0\point_cloud\iteration_3000\point_cloud.ply,259115652,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed0\train_console.log
db/drjohnson,3dgs_sparse,2views_random_seed1,success,0,datasets\sparse_scenes\db\drjohnson\2views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed1,3000,4,30.099670899995544,2,3008,3000,0.0020475684432312846,50.62863464355469,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,9862258,results\method_outputs\db\drjohnson\3dgs_sparse\2views_random_seed1\train_console.log
db/drjohnson,3dgs_sparse,3views_random_seed1,success,0,datasets\sparse_scenes\db\drjohnson\3views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed1,3000,4,39.12414490000083,3,3606,3000,0.0018522195285186173,51.380924224853516,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,37364963,results\method_outputs\db\drjohnson\3dgs_sparse\3views_random_seed1\train_console.log
db/drjohnson,3dgs_sparse,5views_random_seed1,success,0,datasets\sparse_scenes\db\drjohnson\5views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed1,3000,4,64.56243739999627,5,5974,3000,0.002698028227314353,47.44523620605469,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,44408411,results\method_outputs\db\drjohnson\3dgs_sparse\5views_random_seed1\train_console.log
db/drjohnson,3dgs_sparse,8views_random_seed1,success,0,datasets\sparse_scenes\db\drjohnson\8views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed1,3000,4,67.50641180000093,8,8633,3000,0.004346195189282298,43.48642959594727,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed1\point_cloud\iteration_3000\point_cloud.ply,143861619,results\method_outputs\db\drjohnson\3dgs_sparse\8views_random_seed1\train_console.log
