views,scenes,planned_runs,evaluated_runs,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,status
2,4,20,20,10.569380204008306,1.3119508254605654,0.25300144318734963,0.07678889289139677,0.6523322294279935,0.06401027248836208,complete
3,4,20,20,10.957478297149049,1.7245351337049084,0.26792943158427085,0.08266552338109238,0.63332861661911,0.07961975823658515,complete
5,4,20,20,13.05661290783083,1.3028677271126565,0.3753331374702975,0.10865141349836137,0.5680527963861822,0.08970835125144336,complete
8,4,20,20,14.741352500978431,1.4491619892769558,0.4541585541702807,0.09935671216257681,0.504160624910146,0.11158917406569635,complete
12,4,20,20,16.16115844864706,1.6253689301339398,0.5199738818593322,0.10346629099215505,0.4491079414077103,0.11813182216176041,complete
20,4,20,20,18.106306440258663,2.371659085729476,0.6054345786571502,0.1196110385049815,0.38140313992276786,0.12176807510180028,complete
