views,selection,scenes,runs,camera_rmse_mean,camera_rmse_std,infer_sec_mean,peak_gpu_memory_mb_mean
2,quality,4,4,6.285845912693804e-16,8.98793690675369e-16,0.3571444000008341,7050.4697265625
2,quality_diverse,4,4,1.5293346355011514e-16,9.813924611516883e-17,0.4245467499995357,7050.4697265625
2,random,4,4,2.1442825944216883e-16,7.573879181468e-17,0.4223786500006098,7050.4697265625
2,uniform,4,4,3.224838246008117e-16,2.7774552602206036e-16,0.4321115750008175,7050.073974609375
3,quality,4,4,0.0896136095700932,0.1537279254264104,0.3872277499995107,7215.2509765625
3,quality_diverse,4,4,0.105232658284194,0.1863280114089975,0.5220915250010876,7215.2509765625
3,random,4,4,0.0318664687833096,0.0440209175916541,0.5497191499998735,7215.2509765625
3,uniform,4,4,0.1161399153421018,0.1391515232925189,0.4153081500007829,7215.2509765625
5,quality,4,4,0.1029132091221597,0.1930351013184363,0.606111425000563,7579.848388671875
5,quality_diverse,4,4,0.0654185844400493,0.1116490467592947,0.5284724249986539,7579.848388671875
5,random,4,4,0.0474810881671759,0.0741396821566102,0.672071250000954,7579.848388671875
5,uniform,4,4,0.0776260226175079,0.11701919288043,0.5539267249996556,7579.848388671875
8,quality,4,4,0.0102533568899322,0.0086538753846309,1.0237503500002276,8181.365234375
8,quality_diverse,4,4,0.0489558725146928,0.078329307542949,0.979207000000315,8181.365234375
8,random,4,4,0.0238412804992126,0.0247020040080738,0.9132160250001108,8181.365234375
8,uniform,4,4,0.0492913936892196,0.0497463142641555,1.1022614249986873,8181.365234375
12,quality,4,4,0.0226080288352511,0.0346056424935096,1.8052357750011647,8307.942626953125
12,quality_diverse,4,4,0.025916970338734,0.03675532240301,1.9168001500001992,8307.942626953125
12,random,4,4,0.0212746172963616,0.0206244857085925,1.6752450749991112,8307.942626953125
12,uniform,4,4,0.0514425402167579,0.0804323900027395,1.729909125000631,8307.942626953125
20,quality,4,4,0.0287497444787454,0.046280399884417,5.288198750000447,8560.31884765625
20,quality_diverse,4,4,0.0156598763728214,0.0165959445082422,5.111319999998159,8560.31884765625
20,random,4,4,0.0126979759158226,0.0090938441081509,5.317255550001391,8560.31884765625
20,uniform,4,4,0.0171470983197856,0.0171393921129549,5.486639975000799,8560.31884765625
