method,scenes,runs,camera_rmse_mean,camera_rmse_std,runtime_sec_mean,peak_gpu_memory_mb_mean
VGGT,4,16,0.0733597260867232,0.1192342884059776,0.6398398562496368,7581.813262939453
DUSt3R,4,16,0.1024492784002803,0.1441884296200072,10.681243212499568,2764.041259765625
MASt3R,4,16,0.114493619461763,0.1284404467098578,14.52014122499918,3125.752655029297
