method,selection,scenes,runs,camera_rmse_mean,camera_rmse_std,runtime_sec_mean,runtime_sec_std,peak_gpu_memory_mb_mean
DUSt3R,quality,4,4,0.0957959706259914,0.1647983369328809,11.34622597499947,2.9151848490690915,2764.082275390625
DUSt3R,quality_diverse,4,4,0.0737379721607879,0.1224849390298787,10.499846624999009,2.205112784111194,2764.082275390625
DUSt3R,random,4,4,0.0891429501261115,0.158732400060956,10.475516900000912,2.688847811799484,2764.082275390625
DUSt3R,uniform,4,4,0.1511202206882302,0.1790022059448021,10.403383349998876,3.0431641797452307,2763.918212890625
MASt3R,quality,4,4,0.0955526798455916,0.1786437947150793,13.399161499998629,3.460945935925412,3126.250366210937
MASt3R,quality_diverse,4,4,0.0778149241579281,0.0882220897880209,15.608301300000676,3.0901848595367745,3126.207397460937
MASt3R,random,4,4,0.1218301492328222,0.1511943935069463,15.088216724999256,3.735121958087255,3126.119873046875
MASt3R,uniform,4,4,0.1627767246107101,0.1203163727466695,13.984885374998155,2.9284691636424056,3124.432983398437
VGGT,quality,4,4,0.1029132091221597,0.1930351013184363,0.6132671249997657,0.0687196316445028,7582.116455078125
VGGT,quality_diverse,4,4,0.0654185844400493,0.1116490467592947,0.6004336999985753,0.0593256718476169,7582.116455078125
VGGT,random,4,4,0.0474810881671759,0.0741396821566102,0.6015423249991727,0.0682481736146601,7582.116455078125
VGGT,uniform,4,4,0.0776260226175079,0.11701919288043,0.7441162750010334,0.2120590208511963,7580.903686523437
